# NutriCoach - seed alimenti
# Fonte dei valori nutrizionali: tabelle di composizione degli alimenti CREA
# (ex-INRAN), valori per 100 g di parte edibile. I numeri di composizione sono
# di pubblico dominio; restano comunque arrotondamenti pratici.
#
# CONVENZIONE: tutti i valori sono per 100 g di alimento CRUDO / a peso secco
# (es. pasta cruda ~353 kcal/100g; cotta pesa ~2x con meno densita' calorica).
# Sbagliare questa convenzione raddoppia i totali del diario. Le porzioni sono
# etichettate di conseguenza: "80 g (pasta cruda)" significa pesata prima
# della cottura.
#
# Formato porzioni: "label1:grams1|label2:grams2" (separatore "|" tra porzioni,
# ":" fra etichetta e grammi). Le porzioni sono opzionali (campo vuoto ok).
#
name,category,kcal_100g,protein_100g,carbs_100g,fat_100g,fiber_100g,portions
Pasta di semola,cereali,353,12.5,71.2,1.4,2.7,80 g (pasta cruda):80|100 g (pasta cruda):100
Pasta integrale,cereali,324,13.5,64.0,2.5,8.4,80 g (cruda):80
Riso brillato,cereali,332,6.7,80.4,0.4,1.0,80 g (riso crudo):80
Riso integrale,cereali,337,7.5,77.4,1.9,1.9,80 g (crudo):80
Riso basmati,cereali,346,7.5,78.0,0.9,1.4,80 g (crudo):80
Orzo perlato,cereali,319,10.4,70.5,1.4,9.2,80 g (crudo):80
Farro perlato,cereali,335,15.1,67.1,2.5,6.8,80 g (crudo):80
Avena in fiocchi,cereali,389,16.9,66.3,6.9,10.6,40 g (porzione tipica):40
Pane comune,cereali,271,8.6,53.8,1.0,3.8,50 g (una fetta):50|80 g (panino piccolo):80
Pane integrale,cereali,224,7.5,48.5,1.3,6.5,50 g (una fetta):50
Grissini,cereali,431,12.3,68.3,13.9,3.0,15 g (un grissino circa):15
Crackers,cereali,428,9.4,80.1,10.0,3.2,25 g (un pacchetto):25
Cous cous secco,cereali,376,13.0,77.4,2.0,5.0,60 g (cous cous secco):60
Polenta (mais),cereali,362,8.7,79.5,2.7,3.4,50 g (farina di mais):50
Cornflakes,cereali,361,7.0,86.0,0.9,3.0,30 g (porzione tipica):30
Fagioli borlotti secchi,legumi,291,23.1,50.5,2.0,18.0,60 g (fagioli secchi):60
Fagioli cannellini secchi,legumi,279,23.4,47.4,1.9,17.6,60 g (secchi):60
Ceci secchi,legumi,316,19.3,54.3,6.3,13.6,60 g (secchi):60
Lenticchie secche,legumi,291,22.7,51.1,1.0,13.7,60 g (lenticchie secche):60
Piselli secchi,legumi,286,21.7,49.7,2.0,15.7,60 g (secchi):60
Fave secche,legumi,331,27.2,57.6,2.4,7.5,60 g (secche):60
Soia secca,legumi,398,36.9,23.3,18.1,11.9,40 g (secca):40
Fagioli borlotti in scatola,legumi,133,6.9,18.4,0.5,7.6,150 g (mezza scatola):150
Ceci in scatola,legumi,150,7.0,21.0,4.0,6.0,150 g (mezza scatola):150
Lenticchie in scatola,legumi,121,7.0,16.0,0.4,6.0,150 g (mezza scatola):150
Petto di pollo,carni,100,23.3,0,0.8,,150 g (petto medio crudo):150
Coscia di pollo,carni,119,18.8,0,4.8,,150 g (cruda):150
Petto di tacchino,carni,107,24.0,0,1.2,,150 g (crudo):150
Manzo magro (fesa),carni,124,21.8,0,3.7,,150 g (crudo):150
Manzo macinato 15% grasso,carni,225,18.0,0,17.0,,120 g (hamburger crudo):120
Lombo di maiale,carni,146,21.3,0,6.8,,150 g (crudo):150
Coniglio,carni,118,20.4,0,4.0,,150 g (crudo):150
Vitello,carni,107,20.7,0,2.7,,150 g (crudo):150
Agnello,carni,159,20.0,0,8.8,,150 g (crudo):150
Prosciutto crudo,salumi,224,25.9,0.0,13.5,,30 g (3 fette):30
Prosciutto cotto,salumi,196,19.8,0.6,12.7,,30 g (3 fette):30
Bresaola,salumi,151,32.0,0,2.0,,30 g (5 fette):30
Salame,salumi,425,22.0,1.0,38.0,,30 g (5 fette):30
Mortadella,salumi,317,15.3,3.0,28.0,,30 g (2 fette):30
Speck,salumi,304,30.0,1.0,20.0,,30 g (4 fette):30
Salsiccia di maiale,salumi,304,15.4,1.0,27.0,,80 g (una salsiccia):80
Tonno al naturale sgocciolato,pesce,103,25.0,0,0.5,,80 g (mezza scatoletta da 160 g):80
Tonno sott'olio sgocciolato,pesce,194,25.6,0,11.0,,80 g (mezza scatoletta):80
Salmone fresco,pesce,185,18.4,0,12.0,,150 g (filetto crudo):150
Salmone affumicato,pesce,147,25.4,0,4.5,,50 g (4 fette):50
Merluzzo,pesce,71,17.0,0,0.3,,150 g (filetto crudo):150
Branzino,pesce,82,16.5,0,1.5,,150 g (crudo):150
Orata,pesce,121,20.7,0.6,3.7,,150 g (cruda):150
Sgombro,pesce,170,17.0,0,11.1,,120 g (crudo):120
Acciughe sott'olio,pesce,206,25.9,0,11.3,,30 g (porzione tipica):30
Gamberi,pesce,71,13.6,0.8,1.0,,120 g (gamberi crudi):120
Calamari,pesce,68,12.6,1.7,1.3,,150 g (crudi):150
Cozze,pesce,84,11.7,3.4,2.7,,250 g (cozze con guscio):250
Vongole,pesce,72,10.2,2.2,2.5,,200 g (vongole con guscio):200
Uovo di gallina intero,uova,128,12.4,1.0,8.7,,55 g (un uovo medio):55|110 g (due uova):110
Albume d'uovo,uova,43,11.0,0.3,0,,30 g (un albume):30
Tuorlo d'uovo,uova,322,16.0,0.7,29.1,,18 g (un tuorlo):18
Latte intero,latticini,64,3.3,4.9,3.6,,250 ml (una tazza):250|125 ml (mezza tazza):125
Latte parzialmente scremato,latticini,46,3.3,5.0,1.5,,250 ml (una tazza):250
Latte scremato,latticini,36,3.4,5.1,0.2,,250 ml (una tazza):250
